,adapt,adp_v,avg_rate,fast_trough_t,fast_trough_v,fi_fit_slope,first_isi,input_resistance,isi_cv,latency,mean_isi,median_isi,peak_t,peak_v,rheo_first_isi,rheobase_i,sag,stim_amp,tau,threshold_v,trough_t,trough_v,upstroke_downstroke_ratio,v_baseline,vm_for_sag,width
541549258,,,1.0000200004000082,0.7091799999999999,-49.81250381469727,0.004053017327032921,,86.45833283662796,,0.1594,,,0.70686,47.59375381469727,,170.0,0.0930759459733963,190.0,0.019565131727019208,-35.34375,0.7621399999999999,-53.37500381469727,3.412637097100478,-68.83108339811625,-79.34375,0.0009399999999999408
541557114,,,2.0000400008000163,0.6655800000000001,-48.78125381469727,0.021536952492620748,0.012699999999999934,52.99479141831398,0.0,0.08563999999999994,0.012699999999999934,0.012699999999999934,0.66374,42.1875,,220.0,0.043155834078788764,260.0,0.021548957625029803,-39.5625,0.76868,-56.12500381469727,3.3079956599046443,-70.4010530129457,-77.59375,0.0008199999999998209
567754968,,,1.0000200004000082,0.5968800000000001,-61.21875381469727,-3.3088372713195566e-17,,46.22389376163483,,0.08523999999999997,,,0.5939399999999999,33.125003814697266,,280.0,0.06988395005464554,290.0,0.0193967225107894,-47.34375381469727,0.59734,-61.53125381469727,3.779586913002612,-70.41247885567802,-76.18750762939453,0.0011799999999999589
569835804,,,2.0000400008000163,1.01894,-51.53125,0.07523793139755695,0.4240600000000001,113.41145634651184,0.0,0.17701999999999996,0.4240600000000001,0.4240600000000001,1.01676,43.59375381469727,,110.0,0.05574269965291023,150.0,0.021486657470908187,-42.09375381469727,1.0957,-57.34375,3.2118024678217205,-80.31403165250211,-92.84375762939452,0.0008200000000000429
569860121,,,1.0000200004000082,0.6490600000000001,-45.875,0.0040000162454778155,,62.50002980232239,,0.14593999999999996,,,0.6465399999999999,49.9375,,249.9999847412109,0.055894311517477036,249.9999847412109,0.015463185422628563,-29.218751907348636,0.71496,-51.00000381469727,3.332149395569929,-68.67326726140203,-75.90625762939453,0.00103999999999993
571511167,0.03549376002529536,,7.000140002800058,0.7015600000000001,-55.21875381469727,0.11843302559481855,0.10877999999999988,166.01571440696716,0.1270902894169401,0.10202,0.14895,0.1567599999999999,0.69868,26.40625,0.29133999999999993,70.0,0.09086824208498,110.0,0.027435061543987827,-41.59375381469727,0.7657799999999999,-55.53125381469727,2.9057957455626573,-72.62039136886597,-93.34375762939452,0.0012399999999999078
571640763,0.03305995821448703,,13.000260005200104,0.6890799999999999,-52.84375381469727,0.14550852814809112,0.041160000000000085,200.13026893138885,0.19365526676448264,0.033420000000000005,0.07500166666666667,0.07850999999999997,0.68672,42.09375381469727,0.22136,40.0,0.03376860171556473,90.0,0.04316410364272415,-43.21875,0.7294799999999999,-53.50000381469727,3.4544645533635907,-60.24917899237739,-84.78125,0.0009000000000001228
571732727,,,2.0000400008000163,0.7647599999999999,-51.15625381469727,0.04530601774804639,0.008879999999999999,66.92714244127275,0.0,0.08909999999999996,0.008879999999999999,0.008879999999999999,0.7621399999999999,53.31250381469727,0.009679999999999913,180.0,0.0019689942710101604,230.0,0.04081179742485518,-43.12500381469727,0.76502,-51.46875381469727,4.897675360182677,-71.9272523037223,-79.65625,0.00095999999999985
576110753,,,1.0000200004000082,0.6547000000000001,-46.00000381469727,4.259468874998313e-19,,75.13020932674408,,0.07913999999999999,,,0.6527399999999999,36.65625381469727,,210.0,0.2413128763437271,270.0,0.015389755817902662,-34.375,0.7402199999999999,-56.84375381469727,2.7912055428667797,-74.85705833435058,-83.34375,0.0008999999999999008
576118161,0.12171661822529245,,6.000120002400049,0.5830199999999999,-50.8125,0.11750233078239355,0.06564000000000014,63.281118869781494,0.3220810551820861,0.05105999999999988,0.18171600000000004,0.21120000000000005,0.5809599999999999,38.25000381469727,0.5666,249.9999847412109,0.024817826226353645,290.0,0.017238920387056517,-37.3125,0.5831999999999999,-50.90625381469727,2.7909890553912806,-73.03433967359138,-81.21875762939453,0.0009600000000000721
576134298,,,2.0000400008000163,0.6144399999999999,-44.1875,6.278502622018127e-17,0.005879999999999885,50.65103992819786,0.0,0.05762000000000001,0.005879999999999885,0.005879999999999885,0.61256,48.75000381469727,0.007560000000000011,200.0,0.2607443034648895,210.0,0.01889381082214864,-38.65625381469727,0.61466,-44.31250381469727,4.079152426189933,-64.21422311994765,-71.75,0.0008799999999999918
576140393,,,1.0000200004000082,0.56924,-50.21875381469727,1.4609462684774484e-18,,29.166713356971737,,0.0480799999999999,,,0.56752,39.34375381469727,,210.0,0.38760659098625183,249.9999847412109,0.01108710497708962,-39.5,0.63348,-57.71875381469727,3.5633166428372105,-60.18705976009369,-66.15625,0.0007599999999998719
591317875,0.2918174077229833,,5.000100002000041,0.6332399999999999,-68.25,-0.0033591805730668525,0.025539999999999896,78.38547974824904,0.5099500906414716,0.06912000000000007,0.210705,0.26474000000000003,0.63072,26.343751907348636,,90.0,0.13314658403396604,130.0,0.02645950081916193,-54.68750381469727,0.7304200000000001,-69.31250762939453,4.0263360242523465,-76.63914922765784,-87.40625762939453,0.0010599999999998386
591337995,,,2.0000400008000163,0.7161200000000001,-53.84375,0.016410586301351966,0.7176200000000001,90.62496572732924,0.0,0.0831599999999999,0.7176200000000001,0.7176200000000001,0.7138599999999999,38.71875381469727,,170.0,0.02231710217893124,210.0,0.020151549604009847,-43.28125381469727,0.7908599999999999,-61.68750381469727,3.111115161727293,-81.7072868347168,-91.84375762939452,0.0009399999999999408
591399440,0.4200326542400252,,4.000080001600033,0.6605399999999999,-52.18750381469727,0.07351879240733675,0.04811999999999994,413.67191076278687,0.6018768846475395,0.05991999999999997,0.17193999999999998,0.16627999999999998,0.6562999999999999,42.75,0.4285999999999999,10.0,0.02793821878731251,50.0,0.058611092505374364,-34.500003814697266,0.7598199999999999,-56.0625,5.393323935200988,-62.28003709212594,-99.50000762939452,0.0015600000000000056
591411338,0.03586283580159782,,15.000300006000122,0.64218,-53.62500381469727,0.14960616640632854,0.031060000000000088,656.119704246521,0.21019890202111316,0.024519999999999875,0.0638157142857143,0.06742000000000004,0.6370600000000001,27.875,0.18358000000000008,10.0,0.05013513937592506,50.0,0.07083695422502279,-38.90625,0.6518599999999999,-56.93750381469727,3.159101969198567,-53.925447117198594,-96.375,0.0019400000000000528
591422059,0.03975701910056543,-57.59375,8.000160003200065,0.6815199999999999,-58.34375381469727,0.14135719926758825,0.08620000000000005,197.39589095115662,0.14848714745231326,0.07251999999999993,0.11312857142857145,0.11461999999999994,0.6793600000000001,34.15625,0.32328,70.0,0.02572121098637581,110.0,0.03270037011935443,-47.6875,0.7265599999999999,-60.9375,2.8209218996543233,-79.17827238859955,-101.21875,0.0008799999999999918
591442366,0.07368601854504396,,6.000120002400049,0.6597200000000001,-47.15625381469727,0.09095299795313974,0.11139999999999994,185.5468451976776,0.1835137693603227,0.08556000000000008,0.16427999999999998,0.16645999999999986,0.6577599999999999,47.3125,0.23750000000000004,59.99999618530274,0.02851138450205326,110.0,0.0333109011835071,-40.06250381469727,0.7087999999999999,-50.5,2.857546241883428,-69.94062154433307,-91.40625762939452,0.0008199999999998209
592470583,,,2.0000400008000163,0.75854,-52.71875,0.0772391640472519,0.0559400000000001,214.71349895000458,0.0,0.12754000000000001,0.0559400000000001,0.0559400000000001,0.7551999999999999,33.0,0.06980000000000007,40.0,0.050897419452667236,90.0,0.03417837902339441,-42.09375381469727,0.75918,-53.125,4.315462407032178,-68.93663872612848,-93.46875762939452,0.0013999999999998456
592518575,,,2.0000400008000163,0.6224799999999999,-54.15625,-0.0021568027526271166,0.019560000000000025,128.5156607627869,0.0,0.10212,0.019560000000000025,0.019560000000000025,0.61978,50.0,0.014460000000000141,90.0,0.1285228133201599,130.0,0.030905541827476974,-37.43750381469727,0.6228600000000001,-54.46875,4.755758474310007,-63.975913683573395,-80.71875762939453,0.0011400000000001411
592532014,0.12434220465677065,,8.000160003200065,0.7351399999999999,-51.78125381469727,0.15185683608610673,0.030080000000000107,465.8854305744171,0.4778824436925101,0.036759999999999904,0.10605428571428573,0.14204000000000014,0.7311000000000001,41.75000381469727,0.046599999999999975,10.0,0.037339851260185235,50.0,0.05028824136522513,-34.0,0.7362,-52.18750381469727,4.8583725590092754,-57.438412825266525,-101.56250762939452,0.0015399999999998748
592536009,0.4543856283802362,,4.000080001600033,0.6882599999999999,-47.96875381469727,0.0725683610162867,0.0807199999999999,301.04160308837885,0.7411680486381773,0.06532000000000003,0.28474,0.19809999999999994,0.6834600000000001,47.6875,,29.99999809265137,0.07151558250188828,70.0,0.07776843856588397,-31.65625,0.7487600000000001,-49.78125,5.2022727220882015,-53.72706100463867,-88.43750762939453,0.0015000000000000568
592544683,0.1873107718561804,,8.000160003200065,0.6548799999999999,-66.90625,0.11698016843186468,0.012140000000000041,137.76035606861117,0.5261914292643001,0.053180000000000005,0.11729714285714285,0.15349999999999994,0.65236,32.125,,59.99999618530274,0.1234644576907158,110.0,0.033073736496562006,-53.78125381469727,0.6551199999999999,-67.06250762939453,4.109363605244895,-74.15873407434535,-92.71875762939452,0.000920000000000032
