,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
541549258,,1.0000200004000082,,,0.1594,,,190.0,-35.34375,47.59375381469727,-53.37500381469727,-49.81250381469727,,0.0009399999999999408,3.412637097100478,0.70686,0.7091799999999999,0.7621399999999999,,-68.83108339811625,170.0,0.0040530173270329215,0.0930759459733963,-79.34375,86.45833283662796,0.019565131727019208
541557114,,2.0000400008000163,0.012699999999999934,0.0,0.08563999999999994,0.012699999999999934,0.012699999999999934,260.0,-39.5625,42.1875,-56.12500381469727,-48.78125381469727,,0.0008199999999998209,3.3079956599046443,0.66374,0.6655800000000001,0.76868,,-70.4010530129457,220.0,0.021536952492620748,0.04315583407878877,-77.59375,52.99479141831398,0.021548957625029803
567754968,,1.0000200004000082,,,0.08523999999999997,,,290.0,-47.34375381469727,33.125003814697266,-61.53125381469727,-61.21875381469727,,0.0011799999999999589,3.779586913002612,0.5939399999999999,0.5968800000000001,0.59734,,-70.41247885567802,280.0,-3.3088372713195566e-17,0.06988395005464554,-76.18750762939453,46.22389376163483,0.0193967225107894
569835804,,2.0000400008000163,0.4240600000000001,0.0,0.17701999999999996,0.4240600000000001,0.4240600000000001,150.0,-42.09375381469727,43.59375381469727,-57.34375,-51.53125,,0.0008200000000000429,3.2118024678217205,1.01676,1.01894,1.0957,,-80.31403165250211,110.0,0.07523793139755695,0.05574269965291023,-92.84375762939452,113.41145634651184,0.021486657470908187
569860121,,1.0000200004000082,,,0.14593999999999996,,,249.9999847412109,-29.218751907348643,49.9375,-51.00000381469727,-45.875,,0.00103999999999993,3.332149395569929,0.6465399999999999,0.6490600000000001,0.71496,,-68.67326726140203,249.9999847412109,0.0040000162454778155,0.055894311517477036,-75.90625762939453,62.50002980232239,0.015463185422628563
571511167,0.03549376002529536,7.000140002800058,0.10877999999999988,0.1270902894169401,0.10202,0.14895,0.1567599999999999,110.0,-41.59375381469727,26.40625,-55.53125381469727,-55.21875381469727,,0.0012399999999999078,2.9057957455626573,0.69868,0.7015600000000001,0.7657799999999999,0.29133999999999993,-72.62039136886597,70.0,0.11843302559481855,0.09086824208498,-93.34375762939452,166.01571440696716,0.027435061543987827
571640763,0.03305995821448703,13.000260005200104,0.041160000000000085,0.19365526676448264,0.033420000000000005,0.07500166666666667,0.07850999999999997,90.0,-43.21875,42.09375381469727,-53.50000381469727,-52.84375381469727,,0.0009000000000001227,3.4544645533635907,0.68672,0.6890799999999999,0.7294799999999999,0.22136,-60.24917899237739,40.0,0.14550852814809112,0.03376860171556473,-84.78125,200.13026893138885,0.04316410364272415
571732727,,2.0000400008000163,0.008879999999999999,0.0,0.08909999999999996,0.008879999999999999,0.008879999999999999,230.0,-43.12500381469727,53.31250381469727,-51.46875381469727,-51.15625381469727,,0.00095999999999985,4.897675360182677,0.7621399999999999,0.7647599999999999,0.76502,0.009679999999999913,-71.9272523037223,180.0,0.045306017748046386,0.0019689942710101604,-79.65625,66.92714244127275,0.04081179742485518
576110753,,1.0000200004000082,,,0.07913999999999999,,,270.0,-34.375,36.65625381469727,-56.84375381469727,-46.00000381469727,,0.0008999999999999008,2.79120554286678,0.6527399999999999,0.6547000000000001,0.7402199999999999,,-74.85705833435058,210.0,4.259468874998313e-19,0.2413128763437271,-83.34375,75.13020932674408,0.015389755817902662
576118161,0.12171661822529245,6.000120002400049,0.06564000000000014,0.3220810551820861,0.05105999999999988,0.18171600000000004,0.21120000000000005,290.0,-37.3125,38.25000381469727,-50.90625381469727,-50.8125,,0.0009600000000000721,2.7909890553912806,0.5809599999999999,0.5830199999999999,0.5831999999999999,0.5666,-73.03433967359138,249.9999847412109,0.11750233078239355,0.024817826226353645,-81.21875762939453,63.281118869781494,0.017238920387056517
576134298,,2.0000400008000163,0.005879999999999885,0.0,0.05762000000000001,0.005879999999999885,0.005879999999999885,210.0,-38.65625381469727,48.75000381469727,-44.31250381469727,-44.1875,,0.0008799999999999918,4.079152426189933,0.61256,0.6144399999999999,0.61466,0.007560000000000011,-64.21422311994765,200.0,6.278502622018127e-17,0.2607443034648895,-71.75,50.65103992819786,0.01889381082214864
576140393,,1.0000200004000082,,,0.0480799999999999,,,249.9999847412109,-39.5,39.34375381469727,-57.71875381469727,-50.21875381469727,,0.0007599999999998719,3.5633166428372105,0.56752,0.56924,0.63348,,-60.18705976009369,210.0,1.4609462684774484e-18,0.38760659098625183,-66.15625,29.166713356971737,0.01108710497708962
591317875,0.2918174077229833,5.000100002000041,0.025539999999999896,0.5099500906414716,0.06912000000000007,0.21070500000000003,0.26474000000000003,130.0,-54.68750381469727,26.343751907348643,-69.31250762939453,-68.25,,0.0010599999999998386,4.0263360242523465,0.63072,0.6332399999999999,0.7304200000000001,,-76.63914922765784,90.0,-0.0033591805730668525,0.13314658403396604,-87.40625762939453,78.38547974824904,0.02645950081916193
591337995,,2.0000400008000163,0.7176200000000001,0.0,0.0831599999999999,0.7176200000000001,0.7176200000000001,210.0,-43.28125381469727,38.71875381469727,-61.68750381469727,-53.84375,,0.0009399999999999408,3.111115161727293,0.7138599999999999,0.7161200000000001,0.7908599999999999,,-81.7072868347168,170.0,0.016410586301351966,0.02231710217893124,-91.84375762939452,90.62496572732924,0.020151549604009847
591399440,0.4200326542400252,4.000080001600033,0.04811999999999994,0.6018768846475395,0.05991999999999997,0.17193999999999998,0.16627999999999998,50.0,-34.500003814697266,42.75,-56.0625,-52.18750381469727,,0.0015600000000000054,5.393323935200988,0.6562999999999999,0.6605399999999999,0.7598199999999999,0.4285999999999999,-62.28003709212594,10.0,0.07351879240733675,0.02793821878731251,-99.50000762939452,413.67191076278687,0.058611092505374364
591411338,0.03586283580159782,15.000300006000122,0.031060000000000088,0.2101989020211132,0.024519999999999875,0.0638157142857143,0.06742000000000004,50.0,-38.90625,27.875,-56.93750381469727,-53.62500381469727,,0.0019400000000000528,3.159101969198567,0.6370600000000001,0.64218,0.6518599999999999,0.18358000000000008,-53.925447117198594,10.0,0.14960616640632854,0.050135139375925064,-96.375,656.119704246521,0.07083695422502279
591422059,0.03975701910056543,8.000160003200065,0.08620000000000005,0.14848714745231326,0.07251999999999993,0.11312857142857145,0.11461999999999994,110.0,-47.6875,34.15625,-60.9375,-58.34375381469727,-57.59375,0.0008799999999999918,2.8209218996543237,0.6793600000000001,0.6815199999999999,0.7265599999999999,0.32328,-79.17827238859955,70.0,0.14135719926758825,0.02572121098637581,-101.21875,197.39589095115662,0.03270037011935443
591442366,0.07368601854504396,6.000120002400049,0.11139999999999994,0.1835137693603227,0.08556000000000008,0.16427999999999998,0.16645999999999986,110.0,-40.06250381469727,47.3125,-50.5,-47.15625381469727,,0.0008199999999998209,2.857546241883428,0.6577599999999999,0.6597200000000001,0.7087999999999999,0.23750000000000004,-69.94062154433307,59.99999618530274,0.09095299795313974,0.02851138450205326,-91.40625762939452,185.5468451976776,0.0333109011835071
592470583,,2.0000400008000163,0.0559400000000001,0.0,0.12754,0.0559400000000001,0.0559400000000001,90.0,-42.09375381469727,33.0,-53.125,-52.71875,,0.0013999999999998456,4.315462407032178,0.7551999999999999,0.75854,0.75918,0.06980000000000007,-68.93663872612848,40.0,0.0772391640472519,0.050897419452667236,-93.46875762939452,214.71349895000458,0.03417837902339441
592518575,,2.0000400008000163,0.019560000000000025,0.0,0.10212,0.019560000000000025,0.019560000000000025,130.0,-37.43750381469727,50.0,-54.46875,-54.15625,,0.0011400000000001411,4.755758474310007,0.61978,0.6224799999999999,0.6228600000000001,0.014460000000000141,-63.975913683573395,90.0,-0.0021568027526271166,0.1285228133201599,-80.71875762939453,128.5156607627869,0.030905541827476974
592532014,0.12434220465677065,8.000160003200065,0.030080000000000107,0.4778824436925101,0.036759999999999904,0.10605428571428573,0.14204000000000014,50.0,-34.0,41.75000381469727,-52.18750381469727,-51.78125381469727,,0.0015399999999998748,4.8583725590092754,0.7311000000000001,0.7351399999999999,0.7362,0.046599999999999975,-57.43841282526653,10.0,0.15185683608610673,0.037339851260185235,-101.56250762939452,465.8854305744171,0.05028824136522513
592536009,0.4543856283802362,4.000080001600033,0.0807199999999999,0.7411680486381773,0.06532000000000003,0.28474,0.19809999999999994,70.0,-31.65625,47.6875,-49.78125,-47.96875381469727,,0.0015000000000000568,5.2022727220882015,0.6834600000000001,0.6882599999999999,0.7487600000000001,,-53.72706100463867,29.99999809265137,0.0725683610162867,0.07151558250188828,-88.43750762939453,301.04160308837885,0.07776843856588397
592544683,0.1873107718561804,8.000160003200065,0.012140000000000041,0.5261914292643001,0.053180000000000005,0.11729714285714285,0.15349999999999994,110.0,-53.78125381469727,32.125,-67.06250762939453,-66.90625,,0.000920000000000032,4.109363605244895,0.65236,0.6548799999999999,0.6551199999999999,,-74.15873407434535,59.99999618530274,0.11698016843186468,0.1234644576907158,-92.71875762939452,137.76035606861117,0.033073736496562006
592558182,0.32082278065934033,6.000120002400049,0.009839999999999849,1.0664643674408003,0.05902000000000007,0.13204399999999994,0.032280000000000086,90.0,-46.06250381469727,39.8125,-61.5,-61.37500381469727,,0.0009399999999999408,3.8069392100240136,0.7129000000000001,0.7154400000000001,0.7155600000000001,,-66.3857421875,40.0,0.14076714576630278,0.07564365118741989,-87.00000762939453,161.06779873371124,0.0282890979827143
592585119,,1.0000200004000082,,,0.3636200000000001,,,300.0,-40.53125,39.875,-56.0,-55.75,,0.0009600000000000721,3.1001683117969736,0.8792399999999999,0.8817999999999999,0.8820999999999999,,-74.94566170828683,290.0,-2.128633198740199e-17,0.06605023890733719,-84.62500762939453,75.91142505407332,0.031316036321033365
592592260,,1.0000200004000082,,,0.09284000000000003,,,249.9999847412109,-36.4375,39.8125,-56.46875,-56.21875381469727,,0.000920000000000032,3.287302758188253,0.63598,0.6384399999999999,0.6387799999999999,,-68.09439182281494,230.0,-6.317329305618869e-18,0.0977088063955307,-76.84375,64.97398763895035,0.026322760740180917
592598069,,1.0000200004000082,,,0.060999999999999936,,,130.0,-34.21875,32.500003814697266,-56.43750381469727,-56.03125381469727,,0.0011200000000000099,2.478274697490173,0.5912999999999999,0.59396,0.5944799999999999,,-54.0321523030599,90.0,0.07991130791614877,0.0050248783081769935,-68.34375,118.88020485639572,0.024896623109007688
592598599,,1.0000200004000082,,,0.06752000000000002,,,190.0,-42.03125,41.84375381469727,-60.84375381469727,-60.53125,,0.0010200000000000207,3.2383496909249585,0.6101399999999999,0.61232,0.6124799999999999,,-67.3304739559398,150.0,0.021257031751868792,0.15163086354732513,-78.56250762939453,88.67181092500687,0.027952884892273263
595572609,,1.0000200004000082,,,0.049160000000000086,,,230.0,-38.84375,26.093751907348643,-57.28125381469727,-55.93750381469727,,0.0010200000000000207,2.395306734221891,0.6009599999999999,0.6032,0.6271399999999999,,-74.56131443224456,190.0,0.02341436619118479,0.09050500392913816,-84.59375,82.16145634651184,0.012768794404441269
595583062,0.04088319894061953,13.000260005200104,0.03316000000000008,0.17832875525457842,0.04905999999999988,0.07389833333333334,0.07904000000000011,150.0,-41.78125,18.34375,-56.25000381469727,-50.96875,,0.00099999999999989,2.4922325051123027,0.7919,0.7943199999999999,0.8731,,-79.64936114895728,100.0,0.1937675612675929,0.0066053871996700755,-96.43750762939452,146.8750685453415,0.01517776035167624
596036401,,1.0000200004000082,,,0.062279999999999884,,,410.0,-40.56250381469727,41.12500381469727,-55.00000381469727,-50.96875,,0.0008799999999999918,3.140954479891498,0.6004,0.6025,0.68506,,-73.4591458638509,370.0,0.07526747467729418,0.0945725217461586,-78.9375,43.88020932674408,0.013405986625589759
596049425,,1.0000200004000082,,,0.0935999999999999,,,140.0,-49.21875,26.218751907348643,-59.28125381469727,-57.84375381469727,,0.00099999999999989,3.686204110988561,0.58548,0.5877999999999999,0.6536,,-68.74989206650677,90.0,0.07130187574682856,0.17908239364624026,-81.59375,108.46363753080368,0.02153566123344202
596052266,,1.0000200004000082,,,0.06427999999999989,,,170.0,-46.78125381469727,33.03125,-58.53125381469727,-55.71875381469727,,0.0007800000000000027,2.4559584254971663,0.6308799999999999,0.6327400000000001,0.67832,,-80.41296664151278,130.0,0.13579958296533814,0.03315407782793045,-95.59375762939452,135.67708432674408,0.02040453144604213
596053384,,1.0000200004000082,,,0.05712000000000006,,,350.0,-44.53125381469727,45.43750381469727,-56.50000381469727,-54.93750381469727,,0.0008200000000000429,3.059118033206044,0.5971,0.599,0.65958,,-73.51264826456706,300.0,0.03953567443441891,0.11489729583263394,-80.0625,55.46865239739418,0.013375250709694114
596069208,,1.0000200004000082,,,0.08224000000000009,,,150.0,-53.53125,17.406251907348633,-62.90625,-58.50000381469727,,0.0008999999999999008,2.6041022561733165,0.6005400000000001,0.6026600000000001,0.6669400000000001,,-81.17602284749348,110.0,0.1450544503147186,0.00841827318072319,-94.84375,126.6927719116211,0.013039229527856142
596891511,0.05868592292015212,8.000160003200065,0.06929999999999993,0.19550778010485487,0.04024000000000005,0.12408857142857142,0.1304399999999999,170.0,-43.5625,47.46875,-56.68750381469727,-56.43750381469727,,0.0009399999999999408,3.9438319581856764,0.59904,0.60154,0.60192,,-64.6666374206543,130.0,0.10073731066726133,0.0771944522857666,-74.96875762939453,86.06770634651184,0.016011247809607217
596892878,0.13591448311823753,3.0000600012000245,0.33142000000000005,0.13591448311823753,0.14179999999999993,0.3835500000000001,0.3835500000000001,210.0,-39.43750381469727,43.375,-48.71875,-46.56250381469727,,0.0008600000000000829,3.718306965919728,0.6423000000000001,0.64436,0.72532,0.33142000000000005,-71.93729297534841,210.0,0.014285676067481575,0.021054016426205642,-81.78125,100.9114533662796,0.022232790982156
596894384,0.05831856466960179,10.000200004000082,0.047840000000000105,0.29568343863261554,0.029579999999999936,0.1014511111111111,0.1110199999999999,50.0,-39.84375381469727,38.71875381469727,-54.50000381469727,-52.96875,,0.0017000000000000348,5.363511159587109,0.7033799999999999,0.7082599999999999,0.7106999999999999,,-54.41892955614173,10.0,0.16848263191902044,0.036254141479730606,-92.43750762939452,316.92707538604736,0.04874879657738961
596894444,,1.0000200004000082,,,0.15213999999999994,,,249.9999847412109,-34.21875,29.15625,-43.68750381469727,-38.1875,,0.0014199999999999768,3.129542704703532,0.65292,0.6562600000000001,0.8,,-67.34235922495526,249.9999847412109,0.0040000162454778155,0.028337031602859494,-85.87500762939453,67.70826876163483,0.01963917352244724
596898838,,2.0000400008000163,0.3492599999999999,0.0,0.19920000000000004,0.3492599999999999,0.3492599999999999,170.0,-34.906253814697266,51.34375381469727,-48.40625,-44.31250381469727,-43.5625,0.0008000000000001339,3.3898611509675374,0.7237199999999999,0.7258,0.79274,0.42266000000000004,-75.64492558070592,130.0,0.1097983841856243,0.013973293825984,-90.59375762939452,124.60943311452866,0.02119421858979714
596917084,,2.0000400008000163,0.011319999999999995,0.0,0.05464000000000002,0.011319999999999995,0.011319999999999995,249.9999847412109,-26.781251907348643,28.3125,-41.0625,-36.000003814697266,,0.0013399999999998964,3.0748881832378627,0.6451800000000001,0.6485000000000001,0.7122200000000001,0.5125,-54.90579544067383,210.0,-0.02500051272591696,0.08773308247327805,-63.0,58.463525027036674,0.015668909183990432
601940782,0.3555983540615213,5.000100002000041,0.010440000000000005,0.5669037099348608,0.07196000000000002,0.20509,0.24724000000000002,230.0,-43.90625381469727,45.0,-54.03125381469727,-53.90625,,0.0008799999999999918,3.644100943326895,0.6578999999999999,0.6601199999999999,0.66038,0.03469999999999995,-78.25504696007931,190.0,0.0979186272909416,0.10361164063215256,-87.68750762939453,84.5051109790802,0.0172690545266015
601958678,0.05429049981080356,8.000160003200065,0.07879999999999998,0.17087529285033187,0.06054000000000004,0.12972,0.13792000000000004,190.0,-34.093753814697266,48.8125,-49.03125381469727,-45.28125381469727,,0.000920000000000032,3.2190635869234048,0.6614399999999999,0.66364,0.7219399999999999,,-66.61899381070522,140.0,0.1213866055156428,0.07893210649490356,-80.18750762939453,116.79690331220628,0.01888336710727552
602165685,0.03493744069122321,9.000180003600073,0.07069999999999999,0.16578282705847613,0.07957999999999997,0.11253250000000001,0.11797000000000002,130.0,-39.8125,36.56250381469727,-58.18750381469727,-57.84375381469727,,0.0007600000000000937,2.3758095472615115,0.76156,0.7637400000000001,0.7641800000000001,,-80.49793690648572,80.0,0.10075318877269568,0.023755906149744987,-101.34375762939452,190.36461412906647,0.028267666327377382
